	MALASPINA_LEG1_025-3 (MH027_025) * LATITUDE: -21.090000 * LONGITUDE: -35.970000 * DATE/TIME: 2011-01-10T00:00:00 * CAMPAIGN: MALASPINA_LEG1 (29HE20101215) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG1_026-3 (MH028_026) * LATITUDE: -22.950000 * LONGITUDE: -36.920000 * DATE/TIME: 2011-01-11T00:00:00 * CAMPAIGN: MALASPINA_LEG1 (29HE20101215) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG2_027-3 (MH036_027) * LATITUDE: -24.320000 * LONGITUDE: -36.220000 * DATE/TIME: 2011-01-19T00:00:00 * CAMPAIGN: MALASPINA_LEG2 (29HE20110117) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG2_028-3 (MH037_028) * LATITUDE: -24.790000 * LONGITUDE: -33.480000 * DATE/TIME: 2011-01-20T00:00:00 * CAMPAIGN: MALASPINA_LEG2 (29HE20110117) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG2_029-3 (MH038_029) * LATITUDE: -25.430000 * LONGITUDE: -30.070000 * DATE/TIME: 2011-01-21T00:00:00 * CAMPAIGN: MALASPINA_LEG2 (29HE20110117) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG2_030-3 (MH039_030) * LATITUDE: -25.870000 * LONGITUDE: -27.570000 * DATE/TIME: 2011-01-22T00:00:00 * CAMPAIGN: MALASPINA_LEG2 (29HE20110117) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG2_031-3 (MH040_031) * LATITUDE: -26.470000 * LONGITUDE: -24.210000 * DATE/TIME: 2011-01-23T00:00:00 * CAMPAIGN: MALASPINA_LEG2 (29HE20110117) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG2_032-3 (MH041_032) * LATITUDE: -26.950000 * LONGITUDE: -21.400000 * DATE/TIME: 2011-01-24T00:00:00 * CAMPAIGN: MALASPINA_LEG2 (29HE20110117) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG2_033-3 (MH042_033) * LATITUDE: -27.550000 * LONGITUDE: -18.090000 * DATE/TIME: 2011-01-25T00:00:00 * CAMPAIGN: MALASPINA_LEG2 (29HE20110117) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG2_034-3 (MH043_034) * LATITUDE: -28.090000 * LONGITUDE: -14.790000 * DATE/TIME: 2011-01-26T00:00:00 * CAMPAIGN: MALASPINA_LEG2 (29HE20110117) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG2_035-3 (MH044_035) * LATITUDE: -28.650000 * LONGITUDE: -11.810000 * DATE/TIME: 2011-01-27T00:00:00 * CAMPAIGN: MALASPINA_LEG2 (29HE20110117) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
	MALASPINA_LEG2_037-3 (MH046_037) * LATITUDE: -29.770000 * LONGITUDE: -5.310000 * DATE/TIME: 2011-01-29T00:00:00 * CAMPAIGN: MALASPINA_LEG2 (29HE20110117) * BASIS: Hespérides (URI: http://www.eurofleets.eu/rvs/?ices_shipcode=29HE) * METHOD/DEVICE: CTD/Rosette (CTD-RO)
